rating, material1, material2, time_in_seconds
1, G3Brass, G4Larch, 1.587193
1, G8PlayingCardPaper, G4WoodenPaper, 1.388534
1, G9TextileVersion4, G2StoneTileVersion1, 3.234384
6, G9TextileVersion4, G6Carpet, 2.957761
1, G2Brick, G3AluminumPlate, 1.843577
1, G4CompressedWoodVersion1, G9TextileVersion4, 2.724328
1, G2StoneTileVersion2, G8RoughPaper, 5.974718
1, G8Paper, G9TextileVersion3, 7.02362
1, G8PlayingCardPaper, G6Carpet, 2.722239
7, G9TextileVersion3, G8RoughPaper, 7.761484
4, G4WoodenPaper, G6Carpet, 15.615819
5, G2StoneTileVersion2, G9Jeans, 9.366163
6, G8GlitterPaperVersion2, G6Carpet, 4.514371
3, G2CrushedRock, G6Carpet, 2.984262
6, G8GlitterPaperVersion2, G9RedFleeze, 10.936502
7, G4ProfiledWoodPlate, G2StoneTileVersion1, 9.752396
1, G3Copper, G2StoneTileVersion1, 4.30716
1, G4Larch, G8RoughPaper, 3.598288
8, G3Brass, G3Copper, 3.425327
1, G8GlitterPaperVersion1, G6Carpet, 2.167485
1, G2Marble, G9TextileVersion4, 2.011758
2, G8Paper, G4ProfiledWoodPlate, 9.811027
1, G8PlayingCardPaper, G4Teak, 7.675077
5, G9Jeans, G9RedVelvet, 6.993489
6, G4WoodenPaper, G9Jeans, 7.639803
5, G8GlitterPaperVersion2, G2Brick, 10.140023
1, G9TextileVersion4, G4LaminatedWood, 26.439499
1, G3Copper, G9TextileVersion4, 599.086491
1, G3StainlessSteel, G8RoughPaper, 7.567343
1, G9Jeans, G1ProfiledAluminumPlate, 3.08157
1, G4Teak, G8RoughPaper, 8.759567
1, G2Brick, G2StoneTileVersion1, 3.080505
1, G4Larch, G2StoneTileVersion1, 1.459898
1, G2StoneTileVersion2, G8PlayingCardPaper, 2.007297
1, G3StainlessSteel, G9RedVelvet, 2.630735
1, G3Copper, G2CrushedRock, 1.780214
1, G9TextileVersion4, G9RedFleeze, 1.371441
1, G8GlitterPaperVersion2, G1ProfiledAluminumPlate, 1.362701
1, G4CompressedWoodVersion1, G8Paper, 5.534635
1, G4CompressedWoodVersion1, G4Bamboo, 2.439518
1, G4Larch, G1ProfiledAluminumPlate, 1.445561
1, G9TableClothVersion2, G2Marble, 2.179329
1, G3Copper, G9GreenVelvet, 5.75239
3, G3Copper, G4Teak, 2.736146
3, G9TableClothVersion2, G2StoneTileVersion3, 1.825813
1, G2CrushedRock, G2Brick, 2.878566
2, G6Towel, G3AluminumPlate, 1.812906
4, G9Jeans, G4ProfiledWoodPlate, 1.859084
2, G9TableClothVersion2, G4LaminatedWood, 5.762386
1, G2StoneTileVersion3, G2Brick, 19.830055
4, G6Towel, G9Jeans, 2.070491
9, G4WoodenPaper, G4CherryTree, 8.715037
3, G2StoneTileVersion2, G4Bamboo, 11.607272
1, G3Copper, G2Brick, 9.513411
2, G4CompressedWoodVersion1, G4CherryTree, 2.649451
1, G2StoneTileVersion2, G9RedFleeze, 2.024181
2, G9TableClothVersion2, G4Bamboo, 7.820184
1, G2StoneTileVersion3, G9TextileVersion4, 604.265789
2, G4CherryTree, G9RedVelvet, 2.7911
9, G2StoneTileVersion2, G4LaminatedWood, 7.382371
5, G9TextileVersion3, G4WoodenPaper, 2.958845
1, G9GreenVelvet, G2CrushedRock, 6.141302
7, G2Brick, G4ProfiledWoodPlate, 8.357766
9, G6Towel, G8GlitterPaperVersion1, 54.846715
4, G2CrushedRock, G4Larch, 3.33197
1, G4CompressedWoodVersion1, G9RedVelvet, 2.161328
1, G3StainlessSteel, G4Larch, 4.231724
3, G4WoodenPaper, G8RoughPaper, 6.715588
2, G3Copper, G4CompressedWoodVersion1, 7.877707
1, G4Bamboo, G9TextileVersion4, 2.050919
1, G9GreenVelvet, G4WoodenPaper, 7.333625
1, G4Teak, G4CherryTree, 1.978451
2, G2Marble, G2CrushedRock, 1.369998
8, G8Paper, G9Jeans, 5.011542
1, G6Towel, G2StoneTileVersion3, 1.889103
1, G3Copper, G4LaminatedWood, 3.822921
1, G2Marble, G4Teak, 1.542002
1, G2StoneTileVersion2, G4CherryTree, 2.070994
1, G2Brick, G6Carpet, 3.208878
1, G9TableClothVersion2, G8GlitterPaperVersion1, 2.240625
7, G2StoneTileVersion3, G4WoodenPaper, 5.296813
8, G9TextileVersion3, G9TextileVersion4, 3.663312
1, G6Towel, G4Larch, 2.314279
2, G8GlitterPaperVersion1, G9RedFleeze, 1.720087
6, G2Brick, G8RoughPaper, 7.99752
1, G4CompressedWoodVersion1, G3AluminumPlate, 2.424557
1, G4Teak, G8GlitterPaperVersion1, 1.837341
1, G9TextileVersion4, G1ProfiledAluminumPlate, 1.462449
1, G4ProfiledWoodPlate, G8GlitterPaperVersion1, 1.49449
1, G9TextileVersion3, G4LaminatedWood, 7.170863
1, G9TableClothVersion2, G1ProfiledAluminumPlate, 1.539749
1, G2StoneTileVersion3, G9GreenVelvet, 1.334022
2, G4WoodenPaper, G9RedVelvet, 2.552754
1, G4LaminatedWood, G8RoughPaper, 5.88176
1, G2StoneTileVersion2, G2StoneTileVersion3, 1.715184
1, G4Bamboo, G4Teak, 1.26517
1, G6Towel, G9TextileVersion4, 1.431123
1, G3StainlessSteel, G8PlayingCardPaper, 2.995719
1, G4LaminatedWood, G9RedVelvet, 8.315668
1, G8PlayingCardPaper, G9TextileVersion4, 1.48744
1, G3Brass, G9RedVelvet, 1.345182
1, G9GreenVelvet, G3AluminumPlate, 1.705386
1, G8GlitterPaperVersion2, G4Teak, 1.314768
1, G2Marble, G8GlitterPaperVersion1, 1.136486
4, G2StoneTileVersion1, G3AluminumPlate, 2.849669
3, G9TextileVersion4, G4CherryTree, 2.149364
2, G4CompressedWoodVersion1, G9Jeans, 1.895702
1, G2Marble, G9RedVelvet, 1.971123
4, G3Brass, G8GlitterPaperVersion1, 1.48859
5, G8GlitterPaperVersion2, G2StoneTileVersion1, 2.234792
3, G4CompressedWoodVersion1, G8RoughPaper, 3.259553
1, G8GlitterPaperVersion2, G3AluminumPlate, 1.860175
6, G9GreenVelvet, G9RedFleeze, 5.025568
7, G8PlayingCardPaper, G9Jeans, 2.311955
4, G9TableClothVersion2, G3Copper, 2.180317
1, G2StoneTileVersion2, G8GlitterPaperVersion2, 2.431914
4, G3StainlessSteel, G8GlitterPaperVersion1, 1.603241
3, G2StoneTileVersion3, G6Carpet, 1.19843
1, G2CrushedRock, G4ProfiledWoodPlate, 2.815846
6, G3StainlessSteel, G8GlitterPaperVersion2, 4.262958
3, G3StainlessSteel, G4WoodenPaper, 2.264757
2, G4Teak, G6Carpet, 1.820878
4, G2CrushedRock, G4CherryTree, 2.731913
1, G9TextileVersion3, G6Carpet, 1.515032
1, G8RoughPaper, G3AluminumPlate, 5.845724
9, G6Towel, G8Paper, 8.0486
3, G4ProfiledWoodPlate, G1ProfiledAluminumPlate, 4.23997
2, G9GreenVelvet, G2StoneTileVersion1, 7.178161
1, G2StoneTileVersion1, G4CherryTree, 1.547763
2, G4CompressedWoodVersion1, G8GlitterPaperVersion1, 1.398853
1, G2StoneTileVersion3, G4CompressedWoodVersion1, 1.573537
2, G2StoneTileVersion2, G8Paper, 6.372943
2, G3Copper, G8RoughPaper, 5.706037
1, G6Towel, G3Copper, 1.783739
8, G8Paper, G9TextileVersion4, 10.554422
6, G8GlitterPaperVersion1, G8RoughPaper, 27.814113
4, G9TextileVersion3, G8PlayingCardPaper, 6.198325
6, G2Marble, G4LaminatedWood, 6.519656
1, G9GreenVelvet, G4CherryTree, 6.186168
1, G8Paper, G9GreenVelvet, 1.00736
1, G8Paper, G6Carpet, 0.937784
1, G2StoneTileVersion1, G8RoughPaper, 2.044051
3, G2StoneTileVersion1, G9RedVelvet, 1.137085
4, G8GlitterPaperVersion1, G3AluminumPlate, 0.984271
5, G4Teak, G4LaminatedWood, 1.067508
4, G9TableClothVersion2, G4Teak, 1.092776
5, G4WoodenPaper, G9RedFleeze, 0.987564
6, G2StoneTileVersion3, G8PlayingCardPaper, 1.162249
4, G2StoneTileVersion2, G9RedVelvet, 1.019776
5, G8PlayingCardPaper, G9RedFleeze, 1.181076
6, G2StoneTileVersion3, G4Larch, 1.0726
4, G4CompressedWoodVersion1, G2StoneTileVersion1, 1.29608
2, G4Bamboo, G8RoughPaper, 1.411565
5, G4ProfiledWoodPlate, G9RedVelvet, 1.142411
1, G3StainlessSteel, G1ProfiledAluminumPlate, 2.043693
2, G3Brass, G9GreenVelvet, 1.229426
4, G3StainlessSteel, G6Carpet, 1.259412
2, G6Carpet, G9RedFleeze, 1.381291
1, G9TableClothVersion2, G8RoughPaper, 1.136119
5, G2Marble, G2StoneTileVersion1, 1.262757
2, G8GlitterPaperVersion2, G4Bamboo, 1.093887
3, G3Brass, G4CherryTree, 1.526451
1, G9TextileVersion4, G8GlitterPaperVersion1, 1.079614
5, G2StoneTileVersion2, G4Teak, 1.735388
3, G8GlitterPaperVersion1, G4CherryTree, 1.239677
1, G3Copper, G9RedVelvet, 1.259806
5, G3Copper, G8GlitterPaperVersion1, 1.688486
2, G1ProfiledAluminumPlate, G4CherryTree, 1.66056
